Verb (dict.)	English meaning	Present	Past	Future
첨부하다	to attach — 첨부파일을 확인해 주세요.	첨부해요	첨부했어요	첨부할 거예요
청소하다	to clean	청소해요	청소했어요	청소할 거예요
축하하다	to congratulate	축하해요	축하했어요	축하할 거예요
출근하다	to go to work — 아침 9시에 출근해요.	출근해요	출근했어요	출근할 거예요
춥다	cold	추워요	추웠어요	추울 거예요
크다	큰	커요	컸어요	클 거예요
타다	to get on/ride	타요	탔어요	탈 거예요
태다	To clean, wipe	태요	탰어요	탤 거예요
퇴근하다	to leave work — 저녁 6시에 퇴근해요.	퇴근해요	퇴근했어요	퇴근할 거예요
팔다	to sell	팔아요	팔았어요	팔 거예요
피곤하다	to be tired	피곤해요	피곤했어요	피곤할 거예요
하다	to do	해요	했어요	할 거예요
핥다	only ㄹ is pronounced	핥아요	핥았어요	핥을 거예요
환영합니다	Welcome	환영합녀요	환영합녔어요	환영합닐 거예요
흐리다	cloudy	흐려요	흐렸어요	흐릴 거예요
힘들다	to have a hard time	힘들어요	힘들었어요	힘들 거예요
